"country","iso3","subregion","date","classification","new_cases","cases"
"Aruba","ABW","Caribbean and Atlantic Ocean Islands",2022-01-03,"Confirmed",0,0
"Aruba","ABW","Caribbean and Atlantic Ocean Islands",2022-01-03,"Deaths",0,0
"Aruba","ABW","Caribbean and Atlantic Ocean Islands",2022-01-03,"Suspected",0,0
"Anguilla","AIA","Caribbean and Atlantic Ocean Islands",2022-01-03,"Confirmed",0,0
"Anguilla","AIA","Caribbean and Atlantic Ocean Islands",2022-01-03,"Deaths",0,0
"Anguilla","AIA","Caribbean and Atlantic Ocean Islands",2022-01-03,"Suspected",0,0
"Argentina","ARG","South America",2022-01-03,"Confirmed",0,0
"Argentina","ARG","South America",2022-01-03,"Deaths",0,0
"Argentina","ARG","South America",2022-01-03,"Suspected",0,0
"Antigua and Barbuda","ATG","Caribbean and Atlantic Ocean Islands",2022-01-03,"Confirmed",0,0
"Antigua and Barbuda","ATG","Caribbean and Atlantic Ocean Islands",2022-01-03,"Deaths",0,0
"Antigua and Barbuda","ATG","Caribbean and Atlantic Ocean Islands",2022-01-03,"Suspected",0,0
"Bonare, Sint Eustatius and Saba","BES","Caribbean and Atlantic Ocean Islands",2022-01-03,"Confirmed",0,0
"Bonare, Sint Eustatius and Saba","BES","Caribbean and Atlantic Ocean Islands",2022-01-03,"Deaths",0,0
"Bonare, Sint Eustatius and Saba","BES","Caribbean and Atlantic Ocean Islands",2022-01-03,"Suspected",0,0
"Bahamas","BHS","Caribbean and Atlantic Ocean Islands",2022-01-03,"Confirmed",0,0
"Bahamas","BHS","Caribbean and Atlantic Ocean Islands",2022-01-03,"Deaths",0,0
"Bahamas","BHS","Caribbean and Atlantic Ocean Islands",2022-01-03,"Suspected",0,0
"Saint Barthélemy","BLM","Caribbean and Atlantic Ocean Islands",2022-01-03,"Confirmed",0,0
"Saint Barthélemy","BLM","Caribbean and Atlantic Ocean Islands",2022-01-03,"Deaths",0,0
"Saint Barthélemy","BLM","Caribbean and Atlantic Ocean Islands",2022-01-03,"Suspected",0,0
"Belize","BLZ","Central America",2022-01-03,"Confirmed",0,0
"Belize","BLZ","Central America",2022-01-03,"Deaths",0,0
"Belize","BLZ","Central America",2022-01-03,"Suspected",0,0
"Bermuda","BMU","Caribbean and Atlantic Ocean Islands",2022-01-03,"Confirmed",0,0
"Bermuda","BMU","Caribbean and Atlantic Ocean Islands",2022-01-03,"Deaths",0,0
"Bermuda","BMU","Caribbean and Atlantic Ocean Islands",2022-01-03,"Suspected",0,0
"Bolivia","BOL","South America",2022-01-03,"Confirmed",0,0
"Bolivia","BOL","South America",2022-01-03,"Deaths",0,0
"Bolivia","BOL","South America",2022-01-03,"Suspected",0,0
"Brazil","BRA","South America",2022-01-03,"Confirmed",0,0
"Brazil","BRA","South America",2022-01-03,"Deaths",0,0
"Brazil","BRA","South America",2022-01-03,"Suspected",0,0
"Barbados","BRB","Caribbean and Atlantic Ocean Islands",2022-01-03,"Confirmed",0,0
"Barbados","BRB","Caribbean and Atlantic Ocean Islands",2022-01-03,"Deaths",0,0
"Barbados","BRB","Caribbean and Atlantic Ocean Islands",2022-01-03,"Suspected",0,0
"Canada","CAN","North America",2022-01-03,"Confirmed",0,0
"Canada","CAN","North America",2022-01-03,"Deaths",0,0
"Canada","CAN","North America",2022-01-03,"Suspected",0,0
"Chile","CHL","South America",2022-01-03,"Confirmed",0,0
"Chile","CHL","South America",2022-01-03,"Deaths",0,0
"Chile","CHL","South America",2022-01-03,"Suspected",0,0
"Colombia","COL","South America",2022-01-03,"Confirmed",0,0
"Colombia","COL","South America",2022-01-03,"Deaths",0,0
"Colombia","COL","South America",2022-01-03,"Suspected",0,0
"Costa Rica","CRI","Central America",2022-01-03,"Confirmed",0,0
"Costa Rica","CRI","Central America",2022-01-03,"Deaths",0,0
"Costa Rica","CRI","Central America",2022-01-03,"Suspected",0,0
"Cuba","CUB","Caribbean and Atlantic Ocean Islands",2022-01-03,"Confirmed",0,0
"Cuba","CUB","Caribbean and Atlantic Ocean Islands",2022-01-03,"Deaths",0,0
"Cuba","CUB","Caribbean and Atlantic Ocean Islands",2022-01-03,"Suspected",0,0
"Curacao","CUW","Caribbean and Atlantic Ocean Islands",2022-01-03,"Confirmed",0,0
"Curacao","CUW","Caribbean and Atlantic Ocean Islands",2022-01-03,"Deaths",0,0
"Curacao","CUW","Caribbean and Atlantic Ocean Islands",2022-01-03,"Suspected",0,0
"Cayman Islands","CYM","Caribbean and Atlantic Ocean Islands",2022-01-03,"Confirmed",0,0
"Cayman Islands","CYM","Caribbean and Atlantic Ocean Islands",2022-01-03,"Deaths",0,0
"Cayman Islands","CYM","Caribbean and Atlantic Ocean Islands",2022-01-03,"Suspected",0,0
"Dominica","DMA","Caribbean and Atlantic Ocean Islands",2022-01-03,"Confirmed",0,0
"Dominica","DMA","Caribbean and Atlantic Ocean Islands",2022-01-03,"Deaths",0,0
"Dominica","DMA","Caribbean and Atlantic Ocean Islands",2022-01-03,"Suspected",0,0
"Dominican Republic","DOM","Caribbean and Atlantic Ocean Islands",2022-01-03,"Confirmed",0,0
"Dominican Republic","DOM","Caribbean and Atlantic Ocean Islands",2022-01-03,"Deaths",0,0
"Dominican Republic","DOM","Caribbean and Atlantic Ocean Islands",2022-01-03,"Suspected",0,0
"Ecuador","ECU","South America",2022-01-03,"Confirmed",0,0
"Ecuador","ECU","South America",2022-01-03,"Deaths",0,0
"Ecuador","ECU","South America",2022-01-03,"Suspected",0,0
"Falkland Islands","FLK","Caribbean and Atlantic Ocean Islands",2022-01-03,"Confirmed",0,0
"Falkland Islands","FLK","Caribbean and Atlantic Ocean Islands",2022-01-03,"Deaths",0,0
"Falkland Islands","FLK","Caribbean and Atlantic Ocean Islands",2022-01-03,"Suspected",0,0
"Guadeloupe","GLP","Caribbean and Atlantic Ocean Islands",2022-01-03,"Confirmed",0,0
"Guadeloupe","GLP","Caribbean and Atlantic Ocean Islands",2022-01-03,"Deaths",0,0
"Guadeloupe","GLP","Caribbean and Atlantic Ocean Islands",2022-01-03,"Suspected",0,0
"Grenada","GRD","Caribbean and Atlantic Ocean Islands",2022-01-03,"Confirmed",0,0
"Grenada","GRD","Caribbean and Atlantic Ocean Islands",2022-01-03,"Deaths",0,0
"Grenada","GRD","Caribbean and Atlantic Ocean Islands",2022-01-03,"Suspected",0,0
"Guatemala","GTM","Central America",2022-01-03,"Confirmed",0,0
"Guatemala","GTM","Central America",2022-01-03,"Deaths",0,0
"Guatemala","GTM","Central America",2022-01-03,"Suspected",0,0
"French Guiana","GUF","Caribbean and Atlantic Ocean Islands",2022-01-03,"Confirmed",0,0
"French Guiana","GUF","Caribbean and Atlantic Ocean Islands",2022-01-03,"Deaths",0,0
"French Guiana","GUF","Caribbean and Atlantic Ocean Islands",2022-01-03,"Suspected",0,0
"Guyana","GUY","Caribbean and Atlantic Ocean Islands",2022-01-03,"Confirmed",0,0
"Guyana","GUY","Caribbean and Atlantic Ocean Islands",2022-01-03,"Deaths",0,0
"Guyana","GUY","Caribbean and Atlantic Ocean Islands",2022-01-03,"Suspected",0,0
"Honduras","HND","Central America",2022-01-03,"Confirmed",0,0
"Honduras","HND","Central America",2022-01-03,"Deaths",0,0
"Honduras","HND","Central America",2022-01-03,"Suspected",0,0
"Haiti","HTI","Caribbean and Atlantic Ocean Islands",2022-01-03,"Confirmed",0,0
"Haiti","HTI","Caribbean and Atlantic Ocean Islands",2022-01-03,"Deaths",0,0
